,TITLES,时长,播放量,弹幕数,发布日期
263,香港上学生活Q&A Part4 城大资源｜社团｜PE｜校医室,04:40,101,0,2020-07-06
264,【COC TRPG】港城大背景模组《住在秋千上的人》实况－第一话  最后的石郟尾公园,21:00,6.5万,1249,2015-06-29
265,【COC TRPG】港城大背景模组《住在秋千上的人》实况－第二话 回忆？同伴？124742,24:56,3.4万,1405,2015-07-07
266,Vlog_1.0 Back to CityU 疫情期间，跟我一起回学校吧~,10:21,101,2,2020-04-27
267,[中文版] 小猴同学之哥大双学位项目问与答 | 哥大-城大双联学士学位项目行前活动说明会 2020,05:59,62,0,2020-04-23
268,Secure RISC-V Processor for A-loT Devices by Dr.Ray&CityU students#RIOS Bootcamp,51:15,37,0,2020-09-28
269,2018.11.04 科大内足 vs 城大内足 PART III,29:51,15,0,2020-08-29
270,[英文原版] 小猴同学之哥大双学位项目问与答 | 哥大-城大双联学士学位项目行前活动说明会 2020,05:59,61,1,2020-04-23
271,HK Vlog E4｜沙田街市/百佳采购 居家火锅 不正经的CityU school tour 一次性胶片机 旺角俺又来了！,04:24,91,0,2020-04-29
272,【香港】城大展览今开幕：达芬奇手绘真迹现香港,02:26,101,0,2019-09-20
273,城大保安室的景观鱼,00:08,115,0,2019-06-09
274,-英俊-香港学习生活初体验|我家在积福街有太多地道港味|CityU的食堂真的太好吃啦,03:40,697,9,2018-09-23
275,城大第一天体验！CITYU HK First Day,03:57,107,0,2018-09-11
276,CityU of HK：戏精月亮下的五便士,02:58,104,0,2018-03-28
