name,time,f,content,transmit,comment,praise,spiderTime
民乐融媒体中心,1分钟前,微博视频号,#甘肃疫情#,转发,评论,赞,2022-04-09
皮肤科王玮蓁教授,1分钟前,新版微博 weibo.com,#武汉迎来今年首个30℃#,转发,评论,赞,2022-04-09
滨州文旅,1分钟前,搜狗高速浏览器,#滨州身边事#,转发,评论,赞,2022-04-09
南方都市报,2分钟前 转赞人数超过30,微博 weibo.com,#广州白云区强化管控措施#,10,5,25,2022-04-09
猴子派来的琳琳,1分钟前,nova5Pro人像超级夜景,早上八点被一个电话打过来叫起床做核酸，洗脸刷牙就跑下去，队伍排到操场，刚排没两分钟被通知医护人员还没来，于是跑去吃了早餐，吃完早餐九点多赶紧去排队，此时队伍排到我宿舍门口了，排了将近一个小时终于做完了核酸，就这折腾了一上午了，这疫情什么时候结束啊，无止境的核酸，医护人员很累，我们 ​,转发,评论,赞,2022-04-09
剧财,1分钟前,,#长春一小学生写给抗疫一线交警爸爸的信#,转发,评论,赞,2022-04-09
脱欧入亚卡菊轮,2分钟前 转赞人数超过40,HUAWEI Mate X2,感谢外省市的tips，广州毫不犹豫全市核酸了。,2,5,52,2022-04-09
平安苍溪,1分钟前,iPhone客户端,【,转发,评论,赞,2022-04-09
中国商界杂志社,1分钟前,,【,转发,评论,赞,2022-04-09
听说你知道我饭易烊千玺,1分钟前,nova6 5G自拍大不一样,#距2022年高考还有不到60天#,转发,评论,1,2022-04-09
见闻实时新闻,1分钟前,微博 weibo.com,【钟南山：生命是最高的人权，抗疫关键是尽力降低传播和病死率】“在人与病毒的斗争中，最高的人权就是人的生命，是健康的生命。”谈到新冠肺炎疫情防控，钟南山说，“新冠疫情防控的关键问题就是要最大限度降低传播和病死率。”钟南山结合当前疫情形势表示，奥密克戎虽然病死率低，但传播力强，如果大 ​,3,1,赞,2022-04-09
青白江服务,1分钟前,微博 weibo.com,#其他资讯#,转发,评论,赞,2022-04-09
QQsososo,1分钟前,iPhone客户端,#分享近日,转发,评论,赞,2022-04-09
普法追星小律一枚·,1分钟前,HUAWEI Mate 40 Pro,听说我的俊俊,转发,评论,赞,2022-04-09
,,,,,,,2022-04-09
