城市,链接,岗位,工资,公司规模,公司类型,hr活跃表现
广州,https://www.zhipin.com/job_detail/35052b192b7511f51XR73Ni_GFdY.html?lid=1ZCNdukdgpJ.search.26&securityId=qIIubfCMIcho8-S1JaJoABB_-Jz5Ok1zx6_AiYJYqkIHV2gyAlrlKEeNc2N27iRXypBsEtr52F2uSPJNq0iFGsFbxVvt1VEYePpYTQb1TTVk9NRaqg~~&sessionId=,数据分析师,8-16K,不需要融资,,本周活跃
广州,https://www.zhipin.com/job_detail/5c288b061229fd111HN73NW7EFJY.html?lid=1ZCNdukdgpJ.search.27&securityId=-B5Zi1xJqzSZS-91k0pcK81cWZTjMNoYynYYLlozYCGZjXKRUzSxx0On03Sc7tGGTRPQUfIbXu74wzXS2-kdhsPbpsidLah2OhO3Qf5G7PQrMfA3lf6h&sessionId=,数据分析师,12-24K·14薪,20-99人,人工智能,2周内活跃
广州,https://www.zhipin.com/job_detail/0a7c6be21aec9bc31HRz0927F1ZW.html?lid=1ZCNdukdgpJ.search.28&securityId=5v3PPQAqzmSf7-61FQ6W62duF_kBNWDQGmPPe6wLlIHO0LDMahebMo1uG-UPTBQSB1C5oW3GzRstQqx-tww5M7PaHW-Vl3kdhIvHGXhqoWvhYop_&sessionId=,数据分析师,10-11K,A轮,,3日内活跃
广州,https://www.zhipin.com/job_detail/12c04ea0fa8bc3221HN90tq7F1FW.html?lid=1ZCNdukdgpJ.search.29&securityId=o6yP_MBOYE5la-c1zMhZR8RCC8Q-SxQ5tYEcBSWU-ybCeJ2dlian8MX-zA8tF5kgzoOe66yECEvs7WvAvvAjo4oq82ZbTximZjkbBKigqfYEiXb4r70~&sessionId=,数据分析师,15-20K,20-99人,计算机软件,刚刚活跃
广州,https://www.zhipin.com/job_detail/d0ff010b53f913761HN-39q6ElBQ.html?lid=1ZCNdukdgpJ.search.30&securityId=5CybA3l3AIiIz-M1kf-tZCRd3qj8Ci230E1IXqzerpDYyQ8Dh8q4DBmBu8doprbaVBmBlvZQcWuXeEUIwkV5q_giJNeLrZRYINA-g7gipXJXYgEHNVEV&sessionId=,数据分析师,13-26K·13薪,未融资,,刚刚活跃
广州,https://www.zhipin.com/job_detail/92567efb31a0d7e21HR839i9FlRV.html?lid=1ZCNdukdgpJ.search.31&securityId=DNS9s8vVGMDGJ-x1Jsxl0t4E1pQmURZ2jxqdTY-TGWYPs_uMGtaT1AzpGuTv9M6zWEYeIxHbyqxvwWUHKCwC0iYcYs8BUTE1QXGDH2odP2ivViTNqVs~&sessionId=,数据分析师,15-25K·15薪,B轮,,本月活跃
广州,https://www.zhipin.com/job_detail/fd53dde9cc0d1c0e1HRz29y7FFtX.html?lid=1ZCNdukdgpJ.search.32&securityId=kQKAxdW5_pRiS-E1d-wo6mns9T6uzah22xw_oaM4iGEIsnntAF0S_R3p13Oc6BReoR6_1bNTB1eooyn0deo4dnFjmQgxE-sLN-MMAUBZi0f1qU9L&sessionId=,数据分析师,12-15K·13薪,未融资,,今日活跃
广州,https://www.zhipin.com/job_detail/6a7abd427e89a6bf1Hd-2tq7FVFV.html?lid=1ZCNdukdgpJ.search.33&securityId=zImTIHLilPPkf-Y1lFF78LHsH_okh3PWrx9GvQx7h_SskGXs38HbstFMsmDfVimBLjVSSxGzwCg7k1MCgSCRxEP0RtnchQtxpxO3Ac0kwzkMslPw&sessionId=,数据分析师,8-13K,未融资,,今日活跃
广州,https://www.zhipin.com/job_detail/c4315431b2c1269d1nJ839q9EVRX.html?lid=1ZCNdukdgpJ.search.34&securityId=1XOcItE8rpgka-l1fQ71C4grvtB-GwZ-qyhji0E0AVM7iouIB_fYYmdyuDDKQAwaf0oBkOdbfZac4LAsVH3JcjgM4Et3hwW8gp-nKBCn-a-knHuaZe0h&sessionId=,数据分析师,10-11K,0-20人,计算机软件,半年前活跃
广州,https://www.zhipin.com/job_detail/611eaa35b50290cc1Hxz2d-1FFtV.html?lid=1ZCNdukdgpJ.search.35&securityId=cLbFWp06RnIDf-W1kKt_93lUug72Gxt1CgPmser1RF53MhFg-_9rsWD_8YtuS73XOOTWyYZXYeI2J12e1MUopu0IEVjjAqaGULn0FOKf_z4jB_SjXw~~&sessionId=,数据分析师,10-13K,D轮及以上,,3日内活跃
广州,https://www.zhipin.com/job_detail/5f6dc509d687e64d1HN929i_EVBV.html?lid=1ZCNdukdgpJ.search.36&securityId=Xr9QJZYO-aa5o-u1AwHF5yKvt02wsyTGEL_b_2Z6uBqJKKD5tliQcIbBsHq9lPL_QacUAOxeriFS3HVJ1So3F1JxBWusZZJowqO7cUKVX-Bc2K5V&sessionId=,数据分析师,11-18K,已上市,,本月活跃
广州,https://www.zhipin.com/job_detail/75630f4a9bcf85081HV-09m-FVpR.html?lid=1ZCNdukdgpJ.search.37&securityId=oWe7QWLs5vm4U-81muhjn42mjSvVC3mYOBytS2hlbAOsLSk0gJ6q6LvbfUd3AtYPnP-zVeVNMvTcoUziYyZfT0WhxKTP-jvnyzwKMLt9skiPP_ll4iw~&sessionId=,数据分析师,8-13K,未融资,,3月内活跃
广州,https://www.zhipin.com/job_detail/3e280fcaefdefc2d1HF439-9ElZQ.html?lid=1ZCNdukdgpJ.search.38&securityId=eJrWetD71Koci-S1vxTK_4mwccV5fiwY9kkaWav9Mhxd4r3ySbm0UkFMK7PgLBW1nBdJ-QGznYDcrnbSlJkt1O9bzOCYCcW-EjmzpUmQocM5U-u_MQ~~&sessionId=,数据分析师,8-13K,未融资,,3日内活跃
