mid,sex,vip
21405566,保密,1
421421394,保密,0
404518822,保密,0
86926977,保密,0
285267417,保密,1
281638722,保密,0
512119980,保密,1
352192496,女,0
457324501,保密,0
64695065,保密,0
1443706358,保密,0
6525523,保密,0
686679675,男,0
244180194,女,0
20944418,女,1
274672892,保密,0
1108010187,保密,0
525547810,保密,0
17820766,男,0
480185498,保密,1
398425610,女,0
7891478,女,1
32882269,保密,0
478957990,保密,0
31151978,保密,1
27950125,保密,0
11275499,男,1
527312662,保密,0
15615311,保密,0
588706063,保密,0
414837199,保密,1
191066331,保密,1
43768190,保密,1
450755978,保密,1
701093072,女,1
184529184,保密,1
404501908,男,0
487384704,男,1
1894746814,保密,0
9311311,男,1
86926977,保密,0
506865203,保密,0
1924765,男,0
104704755,女,0
195306240,男,1
20280966,男,1
2038584084,保密,1
33316218,保密,0
1686780375,女,0
27838573,男,1
37976894,男,0
37976894,男,0
434609606,保密,0
35023415,保密,1
6203188,保密,1
17823830,女,1
399847981,男,1
263160882,男,0
38045959,女,1
351418321,保密,1
483631980,保密,0
571640893,保密,0
521526081,保密,1
482983257,保密,1
701857798,女,0
674116966,女,0
1159925929,保密,0
236630235,保密,0
385203077,女,0
1296575,女,0
363069726,保密,1
351025223,保密,0
438391851,男,0
93224706,男,0
164974617,女,1
32833748,保密,0
513404250,男,1
507388505,保密,0
1559566051,保密,0
183913342,女,1
413016719,男,1
510649787,保密,1
319475494,保密,0
511126400,女,0
352756684,女,0
33519251,保密,0
1402090197,保密,1
381308765,保密,1
505327843,保密,0
12993663,保密,1
13010242,保密,0
39031498,保密,0
290859,保密,0
33513633,女,0
189648995,保密,0
229741256,男,0
171281760,保密,0
1307526840,保密,0
454167749,女,0
5776673,保密,1
12557567,保密,1
241664229,保密,0
651055467,女,0
514790758,保密,0
628870460,男,0
394233700,男,0
512815566,保密,1
1083833347,保密,0
269325617,男,0
2016700620,保密,0
430141593,保密,0
448620856,男,1
535762992,女,0
1651378,女,1
13986399,男,0
354249508,保密,0
37817530,男,1
489921099,保密,0
470305316,男,0
329618456,女,0
16557838,女,1
662769893,保密,0
436548309,女,1
11123028,保密,1
34275058,保密,0
342951892,保密,0
23226242,女,0
396260320,男,0
668661391,保密,0
32042007,保密,0
668985829,男,0
346165199,男,1
1545556248,保密,0
512606046,保密,1
511171873,保密,1
285804259,保密,0
1334901435,保密,0
272219035,保密,0
193074345,女,1
39133700,男,0
215222651,保密,0
99471975,男,1
411625489,女,0
30883927,保密,0
12725769,女,1
397027000,女,0
40858836,男,1
307823151,保密,0
558576289,保密,0
183445329,男,0
279817,男,0
152977739,保密,1
407480276,男,1
517825164,保密,0
451140255,保密,0
42578722,男,1
24412685,保密,1
652167223,女,0
21104677,保密,1
353873298,女,1
404613217,男,0
289971288,男,0
516719302,保密,0
94736277,男,0
384176696,保密,1
18005478,保密,1
4616423,保密,0
11354372,女,1
662459884,保密,0
486183429,保密,1
26334814,男,0
345792292,女,0
327244453,男,0
6027203,男,1
196439265,保密,0
399096113,保密,0
1233691601,保密,0
278862596,男,0
1205069632,保密,0
281638722,保密,0
1412164401,保密,1
1643397979,女,0
1680669186,保密,0
1820346470,保密,1
642262790,保密,0
39525378,保密,0
369648478,保密,1
296521813,保密,0
22233590,男,1
20517788,男,1
508217175,女,0
20517788,男,1
508217175,女,0
274358576,女,1
605075295,男,0
